TEST PARAMETERS:,Ideal,High,Low,Location,Description
Pedal Zero Location Force,1,,,,Force representing first data point after contacting pedal face
Force Knee Transition Slope,10,,,,Force Knee Transition Slope in N/°
Force Knee Transition Window,1,,,,Force Knee Transition Window in °
Force Knee Transition Percentage,80,,,,Percentage of points in Force Knee Transition Window Length that must be greater than Force Knee Transition Slope
Microgradient Interval,20,,,,Microgradient Interval value (0.4 degrees)
Microgradient Increment,5,,,,Microgradient Increment value (0.1 degrees)
PreScan Velocity,1,,,,PreScan Velocity in rev/sec
PreScan Acceleration,1,,,,PreScan Acceleration in rev/sec/sec
Scan Velocity,0.05,,,,Scan Velocity in rev/sec
Scan Acceleration,0.075,,,,Scan Acceleration in rev/sec/sec
Slow Scan Velocity,0.008,,,,Slow Scan Velocity in rev/sec
Slow Scan Acceleration,0.008,,,,Slow Scan Acceleration in rev/sec/sec
Programming Velocity,1,,,,Programming Velocity in rev/sec
Programming Acceleration,2,,,,Programming Acceleration in rev/sec/sec
Graph Zero Offset,0,,,,Distance between Encoder 0° and Datum 0° on part
Current Part Count,150,,,,# of parts for hourly yield basis
Green Yield Percentage,98,,,,Percentage above which yield is displayed in green
Yellow Yield Percentage,95,,,,Percentage above which yield is displayed in yellow
X-Axis Low Value,-1,,,,X-Axis Start Loaction
X-Axis High Value,20,,,,X-Axis Stop Location
Channel One Filter,4,,,,Channel 1 Filter (DCX/MMC = 2 - Toyota - 3)
Channel Two Filter,4,,,,Channel 2 Filter (DCX/MMC = 2 - Toyota - 3)
Channel Three Filter,1,,,,Channel 3 Filter (Straight-Thru Path for Programming)
Channel Four Filter,1,,,,Channel 4 Filter (Straight-Thru Path for Programming)
Home Block Offset,26.5,,,,HomeBlockOffset - Position = Pedal Angle with respect to Datum A
VRef Mode,1,,,,VRef Mode (0 = Reference IC; 1 = SW Controlled Vref)
Maximum Force Reading,50,,,,Maximum Force Reading from the SC2000 in LBF
INI File,705 TYF AP,,,,INI File name
DefOSYS1,-128,-64,,,DefOSYS1
DefOSYS2,-64,-64,,,DefOSYS2
DefOSYS3,-64,-64,,,DefOSYS3
DefOSYS5,64,64,,,DefOSYS5
DefOSYS6,64,64,,,DefOSYS6
DefOSYS7,64,64,,,DefOSYS7
DefSSYS1,0.824,0.824,,,DefSSYS1
DefSSYS2,0.88,0.88,,,DefSSYS2
DefSSYS3,0.936,0.936,,,DefSSYS3
DefSSYS5,1.07,1.07,,,DefSSYS5
DefSSYS6,1.07,1.07,,,DefSSYS6
DefSSYS7,1.07,1.07,,,DefSSYS7
COMMENTS:,,,,,
Date,Revision,Initials,Descriptions,,
9/20/2021,3.6.0,ANM,Initial release of 705-99-140 (90293 Version) temp Clamp test file per SK.,,
,,,,,
,,,,,
